Iter,SolNum,LineId,Stop,Train,Arr,Dwell,Dep
0,0,0,1,0,.00,.00,.00
0,0,0,2,0,20.00,.00,20.00
0,0,0,1,1,20.00,.00,20.00
0,0,0,2,1,30.00,.00,30.00
0,0,0,1,2,40.00,.00,40.00
0,0,0,2,2,40.00,.00,40.00
0,0,0,1,3,45.00,.00,45.00
0,0,0,2,3,50.00,.00,50.00
0,0,0,1,4,50.00,.00,50.00
0,0,0,2,4,60.00,.00,60.00
0,0,0,1,5,55.00,.00,55.00
0,0,0,2,5,70.00,.00,70.00
0,0,1,1,0,.00,.00,.00
0,0,1,2,0,17.00,.00,17.00
0,0,1,1,1,20.00,.00,20.00
0,0,1,2,1,27.00,.00,27.00
0,0,1,1,2,40.00,.00,40.00
0,0,1,2,2,37.00,.00,37.00
0,0,1,1,3,45.00,.00,45.00
0,0,1,2,3,47.00,.00,47.00
0,0,1,1,4,50.00,.00,50.00
0,0,1,2,4,57.00,.00,57.00
0,0,1,1,5,55.00,.00,55.00
0,0,1,2,5,67.00,.00,67.00
0,0,2,2,0,.00,.00,.00
0,0,2,3,0,19.00,.00,19.00
0,0,2,2,1,6.00,.00,6.00
0,0,2,3,1,29.00,.00,29.00
0,0,2,2,2,26.00,.00,26.00
0,0,2,3,2,39.00,.00,39.00
0,0,2,2,3,46.00,.00,46.00
0,0,2,3,3,49.00,.00,49.00
0,0,2,2,4,51.00,.00,51.00
0,0,2,3,4,59.00,.00,59.00
0,0,2,2,5,56.00,.00,56.00
0,0,2,3,5,69.00,.00,69.00
0,0,3,0,0,.00,.00,.00
0,0,3,1,0,9.00,.00,9.00
0,0,3,0,1,20.00,.00,20.00
0,0,3,1,1,19.00,.00,19.00
0,0,3,0,2,40.00,.00,40.00
0,0,3,1,2,29.00,.00,29.00
0,0,3,0,3,60.00,.00,60.00
0,0,3,1,3,39.00,.00,39.00
0,0,3,0,4,65.00,.00,65.00
0,0,3,1,4,49.00,.00,49.00
0,0,3,0,5,70.00,.00,70.00
0,0,3,1,5,59.00,.00,59.00
0,1,0,1,0,.00,.00,.00
0,1,0,2,0,20.00,.00,20.00
0,1,0,1,1,20.00,.00,20.00
0,1,0,2,1,30.00,.00,30.00
0,1,0,1,2,40.00,.00,40.00
0,1,0,2,2,40.00,.00,40.00
0,1,0,1,3,45.00,.00,45.00
0,1,0,2,3,50.00,.00,50.00
0,1,0,1,4,50.00,.00,50.00
0,1,0,2,4,60.00,.00,60.00
0,1,0,1,5,55.00,.00,55.00
0,1,0,2,5,70.00,.00,70.00
0,1,1,1,0,.00,.00,.00
0,1,1,2,0,17.00,.00,17.00
0,1,1,1,1,20.00,.00,20.00
0,1,1,2,1,27.00,.00,27.00
0,1,1,1,2,40.00,.00,40.00
0,1,1,2,2,37.00,.00,37.00
0,1,1,1,3,45.00,.00,45.00
0,1,1,2,3,47.00,.00,47.00
0,1,1,1,4,50.00,.00,50.00
0,1,1,2,4,57.00,.00,57.00
0,1,1,1,5,55.00,.00,55.00
0,1,1,2,5,67.00,.00,67.00
0,1,2,2,0,.00,.00,.00
0,1,2,3,0,19.00,.00,19.00
0,1,2,2,1,6.00,.00,6.00
0,1,2,3,1,29.00,.00,29.00
0,1,2,2,2,26.00,.00,26.00
0,1,2,3,2,39.00,.00,39.00
0,1,2,2,3,46.00,.00,46.00
0,1,2,3,3,49.00,.00,49.00
0,1,2,2,4,51.00,.00,51.00
0,1,2,3,4,59.00,.00,59.00
0,1,2,2,5,56.00,.00,56.00
