Iter,SolIdD,SegID,Tail,Head,SegTravelTime,Line,Train/Interval_Id,OnBoardF,BoardF,CapCost
0,1,0,1,2,20,0,0,0,0,0
0,1,0,1,2,20,0,1,0,0,0
0,1,0,1,2,20,0,2,0,0,0
0,1,0,1,2,20,0,3,0,0,0
0,1,0,1,2,20,0,4,0,0,0
0,1,0,1,2,20,0,5,0,0,0
0,1,1,1,2,17,1,0,0,0,0
0,1,1,1,2,17,1,1,0,0,0
0,1,1,1,2,17,1,2,0,0,0
0,1,1,1,2,17,1,3,0,0,0
0,1,1,1,2,17,1,4,0,0,0
0,1,1,1,2,17,1,5,0,0,0
0,1,2,2,3,19,2,0,0,0,0
0,1,2,2,3,19,2,1,0,0,0
0,1,2,2,3,19,2,2,0,0,0
0,1,2,2,3,19,2,3,10,10,0.1
0,1,2,2,3,19,2,4,0,0,0
0,1,2,2,3,19,2,5,0,0,0
0,1,3,0,1,9,3,0,0,0,0
0,1,3,0,1,9,3,1,0,0,0
0,1,3,0,1,9,3,2,0,0,0
0,1,3,0,1,9,3,3,0,0,0
0,1,3,0,1,9,3,4,0,0,0
0,1,3,0,1,9,3,5,0,0,0
0,1,4,2,3,15,4,0,0,0,0
0,1,4,2,3,15,4,1,0,0,0
0,1,4,2,3,15,4,2,30,30,0.3
0,1,4,2,3,15,4,3,40,40,0.4
0,1,4,2,3,15,4,4,50,50,0.5
0,1,4,2,3,15,4,5,50,50,0.5
0,1,4,2,3,15,4,6,20,20,0.2
0,1,4,2,3,15,4,7,0,0,0
0,1,5,0,2,29,5,0,40,40,0.4
0,1,5,0,2,29,5,1,50,50,0.5
0,1,5,0,2,29,5,2,50,50,0.5
0,1,5,0,2,29,5,3,50,50,0.5
0,1,5,0,2,29,5,4,10,10,0.1
0,1,5,0,2,29,5,5,0,0,0
0,1,5,0,2,29,5,6,0,0,0
0,1,5,0,2,29,5,7,0,0,0
1,3,0,1,2,20,0,0,0,0,0
1,3,0,1,2,20,0,1,0,0,0
1,3,0,1,2,20,0,2,0,0,0
1,3,0,1,2,20,0,3,0,0,0
1,3,0,1,2,20,0,4,0,0,0
1,3,0,1,2,20,0,5,0,0,0
1,3,1,1,2,17,1,0,0,0,0
1,3,1,1,2,17,1,1,0,0,0
1,3,1,1,2,17,1,2,0,0,0
1,3,1,1,2,17,1,3,0,0,0
1,3,1,1,2,17,1,4,0,0,0
1,3,1,1,2,17,1,5,0,0,0
1,3,2,2,3,19,2,0,0,0,0
1,3,2,2,3,19,2,1,0,0,0
1,3,2,2,3,19,2,2,0,0,0
1,3,2,2,3,19,2,3,1.68913596054547,1.68913596054547,0.0168913596054547
1,3,2,2,3,19,2,4,0,0,0
1,3,2,2,3,19,2,5,0,0,0
1,3,3,0,1,9,3,0,0,0,0
1,3,3,0,1,9,3,1,0,0,0
1,3,3,0,1,9,3,2,0,0,0
1,3,3,0,1,9,3,3,0,0,0
1,3,3,0,1,9,3,4,0,0,0
1,3,3,0,1,9,3,5,0,0,0
1,3,4,2,3,15,4,0,0,0,0
1,3,4,2,3,15,4,1,0,0,0
1,3,4,2,3,15,4,2,20,20,0.2
1,3,4,2,3,15,4,3,48.3108640394545,48.3108640394545,0.483108640394545
1,3,4,2,3,15,4,4,50,50,0.5
1,3,4,2,3,15,4,5,50,50,0.5
1,3,4,2,3,15,4,6,30,30,0.3
1,3,4,2,3,15,4,7,0,0,0
1,3,5,0,2,29,5,0,40,40,0.4
1,3,5,0,2,29,5,1,50,50,0.5
1,3,5,0,2,29,5,2,50,50,0.5
1,3,5,0,2,29,5,3,50,50,0.5
1,3,5,0,2,29,5,4,10,10,0.1
1,3,5,0,2,29,5,5,0,0,0
1,3,5,0,2,29,5,6,0,0,0
1,3,5,0,2,29,5,7,0,0,0
